as at aft and ant apps amble ample apple applet
be bean beat bend bump bunt bust butte battle before
ebb end eon east ends ever eves either esters eastern
fen fro fun fend fern from font fuzz fonts front
gin gun gut gins guns gust guts gusty gutsy goner
hat hit hot hut hats hits host huts horses hotter
pen pin pun port post pots punt porter potter punter
sap sip sop saps sips sops soot sort scoot skirt
tap tip top taps tips tops toot tort trips troop
zap zen zip zit zaps zips zits zebra zebras zipper 
a*
z*
z**
a**le
f*n*
***t
